     id                xc                yc                zc                ra                vx                vy                vz     ct
      0   -4.76190476e-01   -4.76190476e-01   -4.52380952e-01    2.38095238e-02    4.55610885e-02    6.73284692e-03    8.31174700e-03     -1
      1   -4.28571429e-01   -4.76190476e-01   -4.52380952e-01    2.38095238e-02    1.70691481e-02    3.13726404e-02    2.71698170e-02     -1
      2   -3.80952381e-01   -4.76190476e-01   -4.52380952e-01    2.38095238e-02    3.14476889e-02    5.27366793e-03    3.32076289e-02     -1
      3   -2.38095238e-01   -4.76190476e-01   -4.52380952e-01    2.38095238e-02    7.24888996e-03    3.71339984e-02    1.52189522e-03     -1
      4   -1.42857143e-01   -4.76190476e-01   -4.52380952e-01    2.38095238e-02    4.46581307e-02    2.97879330e-02    4.35542039e-02     -1
      5   -9.52380952e-02   -4.76190476e-01   -4.52380952e-01    2.38095238e-02    4.46130203e-02    1.94586426e-02    1.18961260e-02     -1
      6   -4.76190476e-02   -4.76190476e-01   -4.52380952e-01    2.38095238e-02    3.91538080e-02    2.00410334e-02    1.97640471e-02     -1
      7   -5.55111512e-17   -4.76190476e-01   -4.52380952e-01    2.38095238e-02    3.51547742e-02    8.47164197e-03    3.47787349e-02     -1
      8    1.42857143e-01   -4.76190476e-01   -4.52380952e-01    2.38095238e-02    2.61841984e-02    4.55042897e-02    1.13792372e-02     -1
      9    1.90476190e-01   -4.76190476e-01   -4.52380952e-01    2.38095238e-02    4.77894244e-02    3.56881565e-02    1.25897327e-04     -1
     10    2.38095238e-01   -4.76190476e-01   -4.52380952e-01    2.38095238e-02    1.93551176e-02    3.12492450e-02    6.85874424e-03     -1
     11    2.85714286e-01   -4.76190476e-01   -4.52380952e-01    2.38095238e-02    2.76668646e-02    4.83183931e-02    3.82313847e-02     -1
     12    3.33333333e-01   -4.76190476e-01   -4.52380952e-01    2.38095238e-02    4.83668160e-03    2.97660820e-02    4.35050526e-02     -1
     13    4.76190476e-01   -4.76190476e-01   -4.52380952e-01    2.38095238e-02    3.80443105e-02    3.70149720e-02    3.06390510e-02     -1
     14   -5.00000000e-01   -4.34951171e-01   -4.52380952e-01    2.38095238e-02    3.95662058e-02    3.16731026e-02    1.04269840e-02     -1
     15   -4.04761905e-01   -4.34951171e-01   -4.52380952e-01    2.38095238e-02    3.31204097e-02    2.62861229e-02    2.98856266e-02     -1
     16   -3.57142857e-01   -4.34951171e-01   -4.52380952e-01    2.38095238e-02    4.50165356e-02    1.54399309e-02    4.99266600e-02     -1
     17   -2.61904762e-01   -4.34951171e-01   -4.52380952e-01    2.38095238e-02    1.47805828e-02    5.94705087e-04    8.39830193e-03     -1
     18   -1.66666667e-01   -4.34951171e-01   -4.52380952e-01    2.38095238e-02    4.95593176e-02    2.67789035e-02    3.90259163e-03     -1
     19   -1.19047619e-01   -4.34951171e-01   -4.52380952e-01    2.38095238e-02    1.09385548e-02    2.45683279e-02    3.95907481e-02     -1
     20   -7.14285714e-02   -4.34951171e-01   -4.52380952e-01    2.38095238e-02    1.10644521e-02    4.39234455e-02    2.08399931e-02     -1
     21    2.38095238e-02   -4.34951171e-01   -4.52380952e-01    2.38095238e-02    1.79231964e-02    2.15903100e-02    1.91583862e-02     -1
     22    7.14285714e-02   -4.34951171e-01   -4.52380952e-01    2.38095238e-02    6.15458105e-03    2.64269916e-02    4.89244682e-02     -1
     23    1.19047619e-01   -4.34951171e-01   -4.52380952e-01    2.38095238e-02    4.96596336e-02    1.44713022e-02    3.59394401e-02     -1
     24    2.61904762e-01   -4.34951171e-01   -4.52380952e-01    2.38095238e-02    3.02986846e-02    4.03750793e-03    1.76125427e-02     -1
     25    3.57142857e-01   -4.34951171e-01   -4.52380952e-01    2.38095238e-02    4.07256686e-02    3.71579176e-02    4.38986656e-02     -1
     26    4.04761905e-01   -4.34951171e-01   -4.52380952e-01    2.38095238e-02    2.06112952e-02    3.21744532e-02    9.33859647e-03     -1
     27    4.52380952e-01   -4.34951171e-01   -4.52380952e-01    2.38095238e-02    2.05379552e-02    4.69550360e-02    9.93330155e-03     -1
     28   -4.28571429e-01   -3.93711866e-01   -4.52380952e-01    2.38095238e-02    2.89362571e-02    4.65143536e-02    3.67122051e-02     -1
     29   -3.33333333e-01   -3.93711866e-01   -4.52380952e-01    2.38095238e-02    3.28388488e-02    7.45290839e-03    1.12805330e-02     -1
     30   -2.85714286e-01   -3.93711866e-01   -4.52380952e-01    2.38095238e-02    2.24295969e-02    1.85173605e-02    5.20397839e-03     -1
     31   -2.38095238e-01   -3.93711866e-01   -4.52380952e-01    2.38095238e-02    4.32695900e-02    3.64405570e-02    2.67942884e-02     -1
     32   -1.90476190e-01   -3.93711866e-01   -4.52380952e-01    2.38095238e-02    1.24279762e-02    4.25951380e-02    3.22128006e-03     -1
     33   -9.52380952e-02   -3.93711866e-01   -4.52380952e-01    2.38095238e-02    1.13524443e-02    4.22547716e-02    1.76925822e-02     -1
     34    4.76190476e-02   -3.93711866e-01   -4.52380952e-01    2.38095238e-02    4.72918845e-02    2.25534563e-02    2.17300902e-02     -1
     35    9.52380952e-02   -3.93711866e-01   -4.52380952e-01    2.38095238e-02    1.49044272e-02    1.32791249e-02    8.88800775e-03     -1
     36    1.42857143e-01   -3.93711866e-01   -4.52380952e-01    2.38095238e-02    8.80309274e-03    3.38904201e-02    4.10624610e-02     -1
     37    2.38095238e-01   -3.93711866e-01   -4.52380952e-01    2.38095238e-02    1.81416892e-02    4.42837528e-03    3.80174969e-02     -1
     38    2.85714286e-01   -3.93711866e-01   -4.52380952e-01    2.38095238e-02    2.80749908e-02    3.33646324e-02    3.45318505e-02     -1
     39    3.80952381e-01   -3.93711866e-01   -4.52380952e-01    2.38095238e-02    1.47871958e-02    1.62034812e-02    4.19847589e-02     -1
     40    4.28571429e-01   -3.93711866e-01   -4.52380952e-01    2.38095238e-02    2.60677288e-02    3.86330781e-02    1.05021194e-02     -1
     41    4.76190476e-01   -3.93711866e-01   -4.52380952e-01    2.38095238e-02    3.12717072e-02    3.19026681e-02    4.69426764e-02     -1
     42   -5.00000000e-01   -3.52472561e-01   -4.52380952e-01    2.38095238e-02    8.06599560e-03    4.43306443e-02    3.95378144e-02     -1
     43   -4.52380952e-01   -3.52472561e-01   -4.52380952e-01    2.38095238e-02    1.12872757e-02    5.68308861e-03    3.17925860e-02     -1
     44   -4.04761905e-01   -3.52472561e-01   -4.52380952e-01    2.38095238e-02    2.89798579e-02    2.97497306e-03    4.34604224e-03     -1
     45   -3.09523810e-01   -3.52472561e-01   -4.52380952e-01    2.38095238e-02    7.09948084e-04    1.78794002e-02    1.76251671e-02     -1
     46   -2.61904762e-01   -3.52472561e-01   -4.52380952e-01    2.38095238e-02    9.59795583e-03    2.66824930e-02    1.51558719e-03     -1
     47   -2.14285714e-01   -3.52472561e-01   -4.52380952e-01    2.38095238e-02    6.60416810e-04    4.48241822e-02    5.94396249e-03     -1
     48   -1.66666667e-01   -3.52472561e-01   -4.52380952e-01    2.38095238e-02    3.86779137e-02    2.28991729e-02    3.93085949e-02     -1
     49   -1.19047619e-01   -3.52472561e-01   -4.52380952e-01    2.38095238e-02    2.32097642e-02    3.76863687e-02    5.51207611e-03     -1
