id      xc      yc      zc        ra      vx     vy    vz
 0  0.2500  0.1800  0.0500  0.049400   0.000  0.000  0.00
 1  0.7500  0.3500  0.0500  0.049400   0.100  0.000  0.00
 2  0.3000  0.3500  0.0500  0.049400   0.000  0.000  0.00
 3  0.7500  0.6500  0.0500  0.049400  -0.100 -0.200  0.00
 4  0.7500  0.8500  0.0500  0.049400   0.000  0.000  0.00
 5  0.3000  0.7500  0.0500  0.049400   0.200 -0.100  0.00
 6  0.3000  0.6200  0.0500  0.049400   0.000  0.000  0.00
 7  0.6000  0.8000  0.0500  0.049400   0.000  0.200  0.00
 8  0.4700  0.8500  0.0500  0.049400  -0.100  0.000  0.00
 9  0.3800  0.2500  0.0500  0.049400   0.000 -0.300  0.00
10  0.5100  0.3200  0.0500  0.049400   0.000  0.000  0.00
11  0.5000  0.5000  0.0500  0.049400   0.000  0.000  0.00
12  0.4800  0.6000  0.0500  0.049400   0.300 -0.200  0.00
13  0.3800  0.5500  0.0500  0.049400   0.000  0.000  0.00
14  0.2500  0.5000  0.0500  0.049400   0.000  0.000  0.00
15  0.1200  0.4500  0.0500  0.049400  -0.200  0.100  0.00
16  0.7000  0.5000  0.0500  0.049400   0.000  0.000  0.00
17  0.7000  0.2500  0.0500  0.049400   0.000  0.000  0.00
18  0.5500  0.1000  0.0500  0.049400   0.100  0.000  0.00
19  0.4800  0.2000  0.0500  0.049400   0.000 -0.200  0.00
20  0.3500  0.1000  0.0500  0.049400   0.000  0.000  0.00
21  0.4500  0.0500  0.0500  0.049400   0.000  0.100  0.00
22  0.6500  0.6500  0.0500  0.049400   0.000  0.000  0.00
23  0.7000  0.7600  0.0500  0.049400   0.200 -0.100  0.00
24  0.5500  0.9500  0.0500  0.049400   0.000  0.000  0.00
25  0.4500  0.9500  0.0500  0.049400  -0.100 -0.200  0.00
26  0.8500  0.5500  0.0500  0.049400   0.000 -0.100  0.00
27  0.9500  0.4800  0.0500  0.049400   0.000  0.000  0.00
