id    xc    yc    zc      ra    vx   vy   vz
 0  0.25  0.18  0.05  0.0494   0.0  0.0  0.0
 1  0.75  0.35  0.05  0.0494   0.1  0.0  0.0
 2  0.30  0.35  0.05  0.0494   0.0  0.0  0.0
 3  0.75  0.65  0.05  0.0494  -0.1 -0.2  0.0
 4  0.75  0.85  0.05  0.0494   0.0  0.0  0.0
 5  0.30  0.75  0.05  0.0494   0.2 -0.1  0.0
 6  0.30  0.62  0.05  0.0494   0.0  0.0  0.0
 7  0.60  0.80  0.05  0.0494   0.0  0.2  0.0
 8  0.47  0.85  0.05  0.0494  -0.1  0.0  0.0
 9  0.38  0.25  0.05  0.0494   0.0 -0.3  0.0
10  0.51  0.32  0.05  0.0494   0.0  0.0  0.0
11  0.50  0.50  0.05  0.0494   0.0  0.0  0.0
12  0.48  0.60  0.05  0.0494   0.3 -0.2  0.0
13  0.38  0.55  0.05  0.0494   0.0  0.0  0.0
14  0.25  0.50  0.05  0.0494   0.0  0.0  0.0
15  0.12  0.45  0.05  0.0494  -0.2  0.1  0.0
16  0.70  0.50  0.05  0.0494   0.0  0.0  0.0
17  0.70  0.25  0.05  0.0494   0.0  0.0  0.0
18  0.52  0.10  0.05  0.0494   0.1  0.0  0.0
19  0.48  0.20  0.05  0.0494   0.0 -0.2  0.0
20  0.35  0.10  0.05  0.0494   0.0  0.0  0.0
21  0.45  0.05  0.05  0.0494   0.0  0.1  0.0
22  0.65  0.65  0.05  0.0494   0.0  0.0  0.0
23  0.65  0.78  0.05  0.0494   0.2 -0.1  0.0
24  0.55  0.95  0.05  0.0494   0.0  0.0  0.0
25  0.45  0.95  0.05  0.0494  -0.1 -0.2  0.0
26  0.85  0.55  0.05  0.0494   0.0 -0.1  0.0
27  0.95  0.48  0.05  0.0494   0.0  0.0  0.0
