     id                xc                yc                zc                ra                vx                vy                vz     ct
      0   -2.53480976e-01    8.16450521e-01    5.00000000e-02    4.94000000e-02    1.41549612e-02    1.49220017e-02    0.00000000e+00     -1
      1   -7.25876714e-01    9.87953659e-01    5.00000000e-02    4.94000000e-02   -8.23886221e-03    1.34114797e-02    0.00000000e+00     -1
      2    1.29527894e-01   -5.33340694e-01    5.00000000e-02    4.94000000e-02   -1.13014741e-03    6.44354624e-03    0.00000000e+00     -1
      3    3.21621845e-02   -3.24517265e-01    5.00000000e-02    4.94000000e-02    2.26114863e-02    2.08097534e-02    0.00000000e+00     -1
      4    5.21512631e-01    3.25708147e-01    5.00000000e-02    4.94000000e-02   -1.79198722e-02    5.34844381e-03    0.00000000e+00     -1
      5   -6.17071750e-01   -1.16087863e+00    5.00000000e-02    4.94000000e-02   -1.81384212e-02    1.52088377e-02    0.00000000e+00     -1
      6   -2.37733454e-01   -8.23970186e-01    5.00000000e-02    4.94000000e-02   -1.85104777e-02   -1.95595599e-02    0.00000000e+00     -1
      7   -6.76183427e-01    1.19741884e+00    5.00000000e-02    4.94000000e-02    6.46619720e-04    1.69556117e-02    0.00000000e+00     -1
      8   -4.89524118e-01    2.70335598e-01    5.00000000e-02    4.94000000e-02    6.87761339e-03    1.21435950e-03    0.00000000e+00     -1
      9    1.13466006e+00   -1.54008312e-02    5.00000000e-02    4.94000000e-02   -1.03741608e-02    1.35678849e-02    0.00000000e+00     -1
     10    6.47793207e-01    6.41879501e-02    5.00000000e-02    4.94000000e-02   -4.98856890e-03    1.95764726e-02    0.00000000e+00     -1
     11   -3.54099967e-01   -5.20044610e-01    5.00000000e-02    4.94000000e-02    1.53862260e-02    2.09513237e-02    0.00000000e+00     -1
     12    1.07838498e+00   -1.03258734e+00    5.00000000e-02    4.94000000e-02    1.29976751e-03   -2.06972076e-02    0.00000000e+00     -1
     13    3.91744625e-01   -7.38686770e-01    5.00000000e-02    4.94000000e-02    1.95116301e-02   -7.55535324e-03    0.00000000e+00     -1
     14   -1.15194468e+00   -1.04598883e+00    5.00000000e-02    4.94000000e-02   -2.11491314e-03   -2.18452081e-02    0.00000000e+00     -1
     15    1.12952192e+00   -6.28128110e-01    5.00000000e-02    4.94000000e-02    2.01104037e-02    1.75459893e-02    0.00000000e+00     -1
     16    6.24596967e-01   -2.99503257e-01    5.00000000e-02    4.94000000e-02    6.26768207e-04    8.38618804e-03    0.00000000e+00     -1
     17   -1.10572718e+00    7.58554420e-02    5.00000000e-02    4.94000000e-02   -3.11812017e-03    2.15917528e-02    0.00000000e+00     -1
     18    5.30285623e-01    1.03394351e+00    5.00000000e-02    4.94000000e-02   -1.07853298e-02    1.19267157e-02    0.00000000e+00     -1
     19   -3.50283169e-01    3.35949160e-01    5.00000000e-02    4.94000000e-02    9.39306951e-03   -1.67012917e-02    0.00000000e+00     -1
     20    9.12180567e-01   -1.43749134e-01    5.00000000e-02    4.94000000e-02    1.64600547e-02   -8.48314352e-03    0.00000000e+00     -1
     21    9.44093795e-01   -6.50476389e-01    5.00000000e-02    4.94000000e-02   -7.48199107e-03    9.33349542e-03    0.00000000e+00     -1
     22    2.12736320e-01    1.09552381e+00    5.00000000e-02    4.94000000e-02    7.86520198e-03    1.79338163e-02    0.00000000e+00     -1
     23    1.01752749e+00   -1.45056193e-01    5.00000000e-02    4.94000000e-02   -5.07816667e-03    1.57383448e-02    0.00000000e+00     -1
