         q                   u
  0.15444520E+02     -0.50907770E-03
  0.30580160E+02     -0.10079742E-02
  0.45410040E+02     -0.14967923E-02
  0.59937280E+02     -0.19756349E-02
  0.74165000E+02     -0.24446048E-02
  0.88096320E+02     -0.29038049E-02
  0.10173436E+03     -0.33533379E-02
  0.11508224E+03     -0.37933068E-02
  0.12814308E+03     -0.42238143E-02
  0.14092000E+03     -0.46449634E-02
  0.15341612E+03     -0.50568568E-02
  0.16563456E+03     -0.54595974E-02
  0.17757844E+03     -0.58532880E-02
  0.18925088E+03     -0.62380316E-02
  0.20065500E+03     -0.66139308E-02
  0.21179392E+03     -0.69810886E-02
  0.22267076E+03     -0.73396078E-02
  0.23328864E+03     -0.76895912E-02
  0.24365068E+03     -0.80415853E-02
  0.25376000E+03     -0.84645501E-02
  0.26361972E+03     -0.90034410E-02
  0.27323296E+03     -0.96163137E-02
  0.28260284E+03     -0.10267206E-01
  0.29173248E+03     -0.10916579E-01
  0.30062500E+03     -0.11604291E-01
  0.30928352E+03     -0.12326361E-01
  0.31771116E+03     -0.13070912E-01
  0.32591104E+03     -0.13823565E-01
  0.33388628E+03     -0.14583793E-01
  0.34164000E+03     -0.15351528E-01
  0.34917532E+03     -0.16147527E-01
  0.35649536E+03     -0.16979114E-01
  0.36360324E+03     -0.17835767E-01
  0.37050208E+03     -0.18718071E-01
  0.37719500E+03     -0.19636267E-01
  0.38368512E+03     -0.20550130E-01
  0.38997556E+03     -0.21481687E-01
  0.39606944E+03     -0.22407815E-01
  0.40196988E+03     -0.23321027E-01
  0.40768000E+03     -0.24239774E-01
  0.41320292E+03     -0.25184124E-01
  0.41854176E+03     -0.26146688E-01
  0.42369964E+03     -0.27127561E-01
  0.42867968E+03     -0.28131967E-01
  0.43348500E+03     -0.29134095E-01
  0.43811872E+03     -0.30130194E-01
  0.44258396E+03     -0.31135917E-01
  0.44688384E+03     -0.32171548E-01
  0.45102148E+03     -0.33200427E-01
  0.45500000E+03     -0.34214633E-01
  0.45882252E+03     -0.35278326E-01
  0.46249216E+03     -0.36358398E-01
  0.46601204E+03     -0.37426310E-01
  0.46938528E+03     -0.38494836E-01
  0.47261500E+03     -0.39559964E-01
  0.47570432E+03     -0.40613310E-01
  0.47865636E+03     -0.41639692E-01
  0.48147424E+03     -0.42665290E-01
  0.48416108E+03     -0.43710600E-01
  0.48672000E+03     -0.44739248E-01
  0.48915412E+03     -0.45767563E-01
  0.49146656E+03     -0.46778910E-01
  0.49366044E+03     -0.47765808E-01
  0.49573888E+03     -0.48718611E-01
  0.49770500E+03     -0.49636466E-01
  0.49956192E+03     -0.50518104E-01
  0.50131276E+03     -0.51368604E-01
  0.50296064E+03     -0.52196387E-01
  0.50450868E+03     -0.53072996E-01
  0.50596000E+03     -0.53944793E-01
  0.50731772E+03     -0.54789109E-01
  0.50858496E+03     -0.55597271E-01
  0.50976484E+03     -0.56379179E-01
  0.51086048E+03     -0.57122222E-01
  0.51187500E+03     -0.57853901E-01
  0.51281152E+03     -0.58568303E-01
  0.51367316E+03     -0.59404592E-01
  0.51446304E+03     -0.60378148E-01
  0.51518428E+03     -0.61446099E-01
  0.51584000E+03     -0.62827593E-01
