         q                   u
  0.15584405E+01     -0.51368856E-04
  0.31137642E+01     -0.10263497E-03
  0.46659740E+01     -0.15379846E-03
  0.62150733E+01     -0.20485941E-03
  0.77610650E+01     -0.25581793E-03
  0.93039523E+01     -0.30667413E-03
  0.10843738E+02     -0.35742810E-03
  0.12380426E+02     -0.40807995E-03
  0.13914019E+02     -0.45862978E-03
  0.15444520E+02     -0.50907770E-03
  0.16971932E+02     -0.55942381E-03
  0.18496259E+02     -0.60966821E-03
  0.20017502E+02     -0.65981100E-03
  0.21535667E+02     -0.70985229E-03
  0.23050755E+02     -0.75979217E-03
  0.24562770E+02     -0.80963076E-03
  0.26071715E+02     -0.85936815E-03
  0.27577593E+02     -0.90900446E-03
  0.29080407E+02     -0.95853977E-03
  0.30580160E+02     -0.10079742E-02
  0.32076856E+02     -0.10573078E-02
  0.33570497E+02     -0.11065408E-02
  0.35061087E+02     -0.11556732E-02
  0.36548628E+02     -0.12047051E-02
  0.38033125E+02     -0.12536366E-02
  0.39514580E+02     -0.13024679E-02
  0.40992995E+02     -0.13511990E-02
  0.42468375E+02     -0.13998300E-02
  0.43940722E+02     -0.14483611E-02
  0.45410040E+02     -0.14967923E-02
  0.46876331E+02     -0.15451238E-02
  0.48339599E+02     -0.15933556E-02
  0.49799847E+02     -0.16414878E-02
  0.51257078E+02     -0.16895207E-02
  0.52711295E+02     -0.17374541E-02
  0.54162501E+02     -0.17852884E-02
  0.55610700E+02     -0.18330234E-02
  0.57055893E+02     -0.18806595E-02
  0.58498086E+02     -0.19281966E-02
  0.59937280E+02     -0.19756349E-02
  0.61373479E+02     -0.20229745E-02
  0.62806686E+02     -0.20702154E-02
  0.64236904E+02     -0.21173578E-02
  0.65664136E+02     -0.21644018E-02
  0.67088385E+02     -0.22113475E-02
  0.68509655E+02     -0.22581950E-02
  0.69927948E+02     -0.23049443E-02
  0.71343268E+02     -0.23515957E-02
  0.72755617E+02     -0.23981492E-02
  0.74165000E+02     -0.24446048E-02
  0.75571419E+02     -0.24909628E-02
  0.76974876E+02     -0.25372231E-02
  0.78375376E+02     -0.25833860E-02
  0.79772921E+02     -0.26294514E-02
  0.81167515E+02     -0.26754196E-02
  0.82559160E+02     -0.27212906E-02
  0.83947860E+02     -0.27670646E-02
  0.85333618E+02     -0.28127415E-02
  0.86716437E+02     -0.28583216E-02
  0.88096320E+02     -0.29038049E-02
  0.89473270E+02     -0.29491915E-02
  0.90847291E+02     -0.29944815E-02
  0.92218384E+02     -0.30396751E-02
  0.93586555E+02     -0.30847724E-02
  0.94951805E+02     -0.31297733E-02
  0.96314138E+02     -0.31746781E-02
  0.97673557E+02     -0.32194869E-02
  0.99030065E+02     -0.32641997E-02
  0.10038366E+03     -0.33088167E-02
  0.10173436E+03     -0.33533379E-02
  0.10308215E+03     -0.33977635E-02
  0.10442705E+03     -0.34420935E-02
  0.10576905E+03     -0.34863281E-02
  0.10710816E+03     -0.35304674E-02
  0.10844438E+03     -0.35745114E-02
  0.10977771E+03     -0.36184603E-02
  0.11110816E+03     -0.36623142E-02
  0.11243573E+03     -0.37060732E-02
  0.11376042E+03     -0.37497373E-02
  0.11508224E+03     -0.37933068E-02
  0.11640119E+03     -0.38367816E-02
  0.11771727E+03     -0.38801619E-02
  0.11903049E+03     -0.39234478E-02
  0.12034085E+03     -0.39666394E-02
  0.12164834E+03     -0.40097368E-02
  0.12295299E+03     -0.40527401E-02
  0.12425478E+03     -0.40956494E-02
  0.12555373E+03     -0.41384648E-02
  0.12684982E+03     -0.41811864E-02
  0.12814308E+03     -0.42238143E-02
  0.12943350E+03     -0.42663487E-02
  0.13072108E+03     -0.43087895E-02
  0.13200583E+03     -0.43511370E-02
  0.13328774E+03     -0.43933912E-02
  0.13456683E+03     -0.44355522E-02
  0.13584310E+03     -0.44776202E-02
  0.13711655E+03     -0.45195952E-02
  0.13838718E+03     -0.45614773E-02
  0.13965500E+03     -0.46032667E-02
  0.14092000E+03     -0.46449634E-02
  0.14218220E+03     -0.46865675E-02
  0.14344159E+03     -0.47280792E-02
  0.14469818E+03     -0.47694986E-02
  0.14595197E+03     -0.48108257E-02
  0.14720296E+03     -0.48520606E-02
  0.14845117E+03     -0.48932035E-02
  0.14969658E+03     -0.49342545E-02
  0.15093921E+03     -0.49752136E-02
  0.15217906E+03     -0.50160810E-02
  0.15341612E+03     -0.50568568E-02
  0.15465041E+03     -0.50975410E-02
  0.15588192E+03     -0.51381339E-02
  0.15711067E+03     -0.51786353E-02
  0.15833664E+03     -0.52190456E-02
  0.15955985E+03     -0.52593648E-02
  0.16078031E+03     -0.52995929E-02
  0.16199800E+03     -0.53397301E-02
  0.16321294E+03     -0.53797766E-02
  0.16442512E+03     -0.54197323E-02
  0.16563456E+03     -0.54595974E-02
  0.16684125E+03     -0.54993720E-02
  0.16804520E+03     -0.55390562E-02
  0.16924641E+03     -0.55786502E-02
  0.17044488E+03     -0.56181539E-02
  0.17164062E+03     -0.56575675E-02
  0.17283364E+03     -0.56968912E-02
  0.17402392E+03     -0.57361250E-02
  0.17521148E+03     -0.57752690E-02
  0.17639632E+03     -0.58143233E-02
  0.17757844E+03     -0.58532880E-02
  0.17875785E+03     -0.58921633E-02
  0.17993454E+03     -0.59309492E-02
  0.18110853E+03     -0.59696459E-02
  0.18227981E+03     -0.60082533E-02
  0.18344839E+03     -0.60467718E-02
  0.18461428E+03     -0.60852012E-02
  0.18577746E+03     -0.61235418E-02
  0.18693796E+03     -0.61617937E-02
  0.18809576E+03     -0.61999569E-02
  0.18925088E+03     -0.62380316E-02
  0.19040331E+03     -0.62760178E-02
  0.19155307E+03     -0.63139157E-02
  0.19270015E+03     -0.63517253E-02
  0.19384455E+03     -0.63894468E-02
  0.19498628E+03     -0.64270803E-02
  0.19612535E+03     -0.64646258E-02
  0.19726175E+03     -0.65020836E-02
  0.19839549E+03     -0.65394536E-02
  0.19952657E+03     -0.65767359E-02
  0.20065500E+03     -0.66139308E-02
  0.20178077E+03     -0.66510382E-02
  0.20290390E+03     -0.66880584E-02
  0.20402438E+03     -0.67249913E-02
  0.20514222E+03     -0.67618371E-02
  0.20625741E+03     -0.67985959E-02
  0.20736998E+03     -0.68352679E-02
  0.20847990E+03     -0.68718530E-02
  0.20958720E+03     -0.69083514E-02
  0.21069187E+03     -0.69447632E-02
  0.21179392E+03     -0.69810886E-02
  0.21289335E+03     -0.70173275E-02
  0.21399015E+03     -0.70534802E-02
  0.21508435E+03     -0.70895467E-02
  0.21617593E+03     -0.71255271E-02
  0.21726490E+03     -0.71614216E-02
  0.21835127E+03     -0.71972301E-02
  0.21943504E+03     -0.72329529E-02
  0.22051621E+03     -0.72685901E-02
  0.22159478E+03     -0.73041417E-02
  0.22267076E+03     -0.73396078E-02
  0.22374415E+03     -0.73749885E-02
  0.22481495E+03     -0.74102840E-02
  0.22588317E+03     -0.74454944E-02
  0.22694881E+03     -0.74806197E-02
  0.22801187E+03     -0.75156600E-02
  0.22907236E+03     -0.75506155E-02
  0.23013028E+03     -0.75854863E-02
  0.23118563E+03     -0.76202724E-02
  0.23223842E+03     -0.76549740E-02
  0.23328864E+03     -0.76895912E-02
  0.23433631E+03     -0.77241240E-02
  0.23538142E+03     -0.77585726E-02
  0.23642397E+03     -0.77929371E-02
  0.23746398E+03     -0.78276820E-02
  0.23850144E+03     -0.78631988E-02
  0.23953637E+03     -0.78984767E-02
  0.24056875E+03     -0.79336958E-02
  0.24159859E+03     -0.79688243E-02
  0.24262590E+03     -0.80038679E-02
  0.24365068E+03     -0.80399198E-02
  0.24467293E+03     -0.80794138E-02
  0.24569266E+03     -0.81199212E-02
  0.24670987E+03     -0.81602669E-02
  0.24772456E+03     -0.82009387E-02
  0.24873673E+03     -0.82442613E-02
  0.24974640E+03     -0.82884515E-02
  0.25075355E+03     -0.83325394E-02
  0.25175820E+03     -0.83765203E-02
  0.25276035E+03     -0.84203944E-02
  0.25376000E+03     -0.84644916E-02
  0.25475715E+03     -0.85135774E-02
  0.25575181E+03     -0.85632007E-02
  0.25674398E+03     -0.86138496E-02
  0.25773367E+03     -0.86665036E-02
  0.25872086E+03     -0.87190106E-02
  0.25970558E+03     -0.87714150E-02
  0.26068783E+03     -0.88237179E-02
  0.26166759E+03     -0.88793489E-02
  0.26264489E+03     -0.89406820E-02
  0.26361972E+03     -0.90024066E-02
  0.26459208E+03     -0.90640888E-02
  0.26556199E+03     -0.91257064E-02
  0.26652943E+03     -0.91872573E-02
  0.26749442E+03     -0.92487405E-02
  0.26845695E+03     -0.93101548E-02
  0.26941704E+03     -0.93714995E-02
  0.27037468E+03     -0.94327735E-02
  0.27132988E+03     -0.94939758E-02
  0.27228264E+03     -0.95551056E-02
  0.27323296E+03     -0.96161619E-02
  0.27418085E+03     -0.96786379E-02
  0.27512630E+03     -0.97422189E-02
  0.27606933E+03     -0.98081130E-02
  0.27700994E+03     -0.98741240E-02
  0.27794812E+03     -0.99400614E-02
  0.27888389E+03     -0.10005924E-01
  0.27981724E+03     -0.10071710E-01
  0.28074818E+03     -0.10137419E-01
  0.28167671E+03     -0.10203050E-01
  0.28260284E+03     -0.10268602E-01
  0.28352656E+03     -0.10334075E-01
  0.28444789E+03     -0.10399467E-01
  0.28536682E+03     -0.10464777E-01
  0.28628335E+03     -0.10530005E-01
  0.28719749E+03     -0.10595150E-01
  0.28810925E+03     -0.10660210E-01
  0.28901863E+03     -0.10725185E-01
  0.28992562E+03     -0.10790075E-01
  0.29083024E+03     -0.10854878E-01
  0.29173248E+03     -0.10919594E-01
  0.29263235E+03     -0.10984221E-01
  0.29352985E+03     -0.11049162E-01
  0.29442499E+03     -0.11118687E-01
  0.29531777E+03     -0.11188256E-01
  0.29620818E+03     -0.11257633E-01
  0.29709625E+03     -0.11326944E-01
  0.29798196E+03     -0.11396200E-01
  0.29886532E+03     -0.11465400E-01
  0.29974633E+03     -0.11534545E-01
  0.30062500E+03     -0.11603632E-01
  0.30150133E+03     -0.11672661E-01
  0.30237532E+03     -0.11741632E-01
  0.30324698E+03     -0.11811854E-01
  0.30411631E+03     -0.11882367E-01
  0.30498331E+03     -0.11954278E-01
  0.30584799E+03     -0.12026512E-01
  0.30671035E+03     -0.12100021E-01
  0.30757039E+03     -0.12174377E-01
  0.30842811E+03     -0.12248627E-01
  0.30928352E+03     -0.12322836E-01
  0.31013662E+03     -0.12397009E-01
  0.31098742E+03     -0.12471147E-01
  0.31183591E+03     -0.12545249E-01
  0.31268211E+03     -0.12619637E-01
  0.31352600E+03     -0.12693479E-01
  0.31436761E+03     -0.12767000E-01
  0.31520692E+03     -0.12840397E-01
  0.31604395E+03     -0.12913721E-01
  0.31687870E+03     -0.12986989E-01
  0.31771116E+03     -0.13060204E-01
  0.31854135E+03     -0.13133365E-01
  0.31936926E+03     -0.13206473E-01
  0.32019490E+03     -0.13279526E-01
  0.32101827E+03     -0.13353058E-01
  0.32183937E+03     -0.13427524E-01
  0.32265822E+03     -0.13502694E-01
  0.32347481E+03     -0.13579024E-01
  0.32428914E+03     -0.13655178E-01
  0.32510121E+03     -0.13731241E-01
  0.32591104E+03     -0.13807237E-01
  0.32671862E+03     -0.13883173E-01
  0.32752396E+03     -0.13959051E-01
