                Xc                Yc                 R
    4.48474196e-01    3.47522677e-01    3.50000000e-02
    7.84356395e-01    3.61190164e-01    2.70000000e-02
    9.61422590e-01    7.80138072e-01    5.00000000e-02
    1.00545881e+00    6.29551227e-01    4.40000000e-02
    6.88890796e-01    2.19424841e-01    4.60000000e-02
    5.60772318e-01    9.58443341e-01    4.40000000e-02
    2.05965933e-01    3.09648122e-01    2.80000000e-02
    1.32122789e-01    4.82422335e-01    4.40000000e-02
    3.67335729e-01    2.53786809e-01    2.40000000e-02
    8.76662236e-01    3.38750356e-01    7.65000000e-02
    9.72542437e-01    5.01090098e-01    2.95000000e-02
    5.03216205e-01    5.30750084e-01    3.70000000e-02
    7.09138894e-02    6.64722778e-01    7.30000000e-02
    3.13997199e-01    9.19805981e-02    7.25000000e-02
    6.53835358e-02    4.19484733e-01    3.70000000e-02
    9.03342106e-01    8.90214340e-02    6.40000000e-02
    8.36697862e-01    7.59881424e-01    5.00000000e-02
    6.03734386e-01    1.61996120e-01    4.00000000e-02
    9.32723149e-01    5.73696720e-01    3.55000000e-02
    4.06090755e-01    1.76336499e-02    4.00000000e-02
    9.12202730e-01    8.46016833e-01    2.80000000e-02
    7.22117957e-01    6.97299677e-01    6.25000000e-02
    5.18914561e-01    1.92836956e-01    4.10000000e-02
    1.83904488e-01    3.85383846e-01    4.50000000e-02
    9.13473842e-01    6.79518564e-01    4.65000000e-02
    5.46209530e-01    3.84915424e-01    3.70000000e-02
    5.56953012e-01    4.76807217e-01    3.55000000e-02
    6.65846680e-01    3.28695933e-01    5.90000000e-02
    4.25507830e-01    2.80971853e-01    3.20000000e-02
    6.40058542e-01    6.23798693e-01    4.55000000e-02
    4.34002645e-01    6.96733176e-01    4.05000000e-02
    4.39933008e-01    1.16961449e-01    4.40000000e-02
    3.89711978e-01    4.22402115e-01    4.50000000e-02
    3.77323458e-01    5.87236791e-01    3.70000000e-02
    5.14891403e-01    7.50860067e-01    3.60000000e-02
    3.56181356e-01    1.91350380e-01    3.60000000e-02
    7.09200646e-02    2.32414641e-01    7.20000000e-02
    2.05715865e-01    8.90010575e-01    4.10000000e-02
    2.14302372e-01    7.29777410e-01    4.25000000e-02
    4.50690810e-01    9.65722195e-01    4.95000000e-02
    1.22722764e-01    5.67684465e-01    3.70000000e-02
    2.69842008e-01    5.80931402e-01    4.60000000e-02
    2.86761406e-01    3.76268080e-01    5.50000000e-02
    5.85786840e-01    8.15985884e-01    3.70000000e-02
    5.39022677e-01    9.20793969e-02    3.60000000e-02
    1.05210074e-01    3.38153356e-01    4.05000000e-02
    8.45594324e-01    1.68910856e-01    3.20000000e-02
    2.35631045e-01    1.76940951e-01    3.70000000e-02
    4.37711448e-01    2.14628348e-01    3.10000000e-02
    2.19321423e-01    9.99276385e-02    2.42500000e-02
    7.31720411e-01    4.17195785e-01    4.60000000e-02
    7.63862783e-01    9.43038880e-01    4.10000000e-02
    3.45599399e-02    3.33284367e-01    3.20000000e-02
    8.17086134e-01    4.62235582e-01    4.70000000e-02
    7.28237860e-01    5.12807052e-02    1.90000000e-02
    5.64030550e-01    2.19557132e-02    3.20000000e-02
    9.45285028e-01    4.34030181e-01    4.10000000e-02
    3.86741791e-01    8.71561641e-01    5.50000000e-02
    4.09833456e-02    1.15256207e-01    5.00000000e-02
    7.62060593e-01    1.19177855e-01    4.90000000e-02
    2.43469835e-01    4.75397143e-01    4.90000000e-02
    1.41330584e-01    9.50336259e-01    3.85000000e-02
    7.47358758e-01    5.69549222e-01    4.10000000e-02
    8.67232858e-01    9.22178854e-01    2.75000000e-02
    6.52079684e-01    7.20503010e-02    5.50000000e-02
    6.10343441e-01    2.52247236e-01    3.70000000e-02
    1.81614818e-01    6.29976104e-01    4.10000000e-02
    5.81884952e-01    6.96437096e-01    4.55000000e-02
    2.17661388e-01    3.42070614e-02    3.60000000e-02
    1.09019357e-01    2.38545609e-02    4.15000000e-02
    5.38028771e-01    3.04225791e-01    3.70000000e-02
    8.49378895e-01    5.60341124e-01    5.00000000e-02
    7.63513420e-01    2.88471424e-01    3.65000000e-02
    3.32818934e-01    7.59320818e-01    6.75000000e-02
