          Xc                Yc                 R
    0.505477    7.79232153e-01    1.06190769e-01
    0.892997    8.41731368e-01    1.06190769e-01
    0.850204    3.14420440e-01    1.06190769e-01
    0.540142    5.69693134e-01    1.06190769e-01
    0.685626    8.93662060e-01    1.06190769e-01
    0.681058    1.35768270e-01    1.06190769e-01
    0.219553    2.88896136e-01    1.06190769e-01
    0.494599    2.39878737e-01    1.06190769e-01
    0.892932    1.06321923e-01    1.06190769e-01
    0.892860    5.22538905e-01    1.06190769e-01
    0.333995    6.43937143e-01    1.06190769e-01
    0.385720    4.22691866e-01    1.06190769e-01
    0.107003    8.93809231e-01    1.06190769e-01
    0.751729    6.82192743e-01    1.06190769e-01
    0.110438    1.06268976e-01    1.06190769e-01
    0.649045    3.86881688e-01    1.06190769e-01
    0.107097    4.69364337e-01    1.06190769e-01
    0.107144    6.81587886e-01    1.06190769e-01
    0.328377    1.06190769e-01    1.06190769e-01
    0.320759    8.86267020e-01    1.06190769e-01
